data , dia,casos,mortes
13/03, 0  ,  151,  0
14/03, 1  ,  151,   0
15/03, 2  ,  200,   0
16/03, 3  ,  234,   0
17/03, 4  ,  346,   1
18/03, 5  ,  529,   4
19/03, 6  ,  640,   7
20/03, 7  ,  970,  11
21/03, 8  , 1178,  18
22/03, 9  , 1546,  25
23/03,10  , 1924,  34
24/03,11  , 2247,  46
25/03,12  , 2554,  59
26/03,13  , 2985,  77
27/03,14  , 3417,  92
28/03,15  , 3904, 114
29/03,16  , 4256, 136
30/03,17  , 4579, 159
31/03,18  , 5717, 201
01/04,19  , 6880, 242
02/04,20  , 8044, 324
03/04,21  , 9194, 363
04/04,22  ,10360, 445
05/04,23  ,11281, 487
06/04,24  ,12183, 564
07/04,25  ,14034, 686
08/04,26  ,16188, 820
09/04,27  ,18145, 954
10/04,28  ,19789,1068
11/04,29  ,20962,1140
