data , dia,casos    , mortes
23/02, 0,        157,     3
24/02, 1,        229,     7
25/02, 2,        323,    11 
26/02, 3,        470,    12
27/02, 4,        655,    17
28/02, 5,        889,    21
29/02, 6,       1128,    29
01/03, 7,       1701,    41
02/03, 8,       2036,    52
03/03, 9,       2502,    79
04/03,10,       3089,   107
05/03,11,       3858,   148
06/03,12,       4636,   197
07/03,13,       5883,   233
08/03,14,       7375,   366
09/03,15,       9172,   463
10/03,16,      10149,   631
11/03,17,      12462,   827
12/03,18,      15113,  1016
13/03,19,      17660,  1266
14/03,20,      21157,  1441
15/03,21,      24747,  1809
16/03,22,      27980,  2158
17/03,23,      31506,  2503
18/03,24,      35713,  2978
19/03,25,      41035,  3405
20/03,26,      47021,  4032
21/03,27,      53578,  4825
22/03,28,      59138,  5476
23/03,29,      63927,  6077
24/03,30,      69176,  6820
25/03,31,      74386,  7503
26/03,32,      80589,  8215
27/03,33,      86498,  9134
28/03,34,      92472, 10023
29/03,35,      97689, 10779
30/03,36,     101739, 11591
31/03,37,     105792, 12428
01/04,38,     110574, 13155
02/04,39,     115242, 13915
03/04,40,     119827, 14681
04/04,41,     124632, 15362
05/04,42,     128948, 15887
06/04,43,     132547, 16523
07/04,44,     135586, 17127
08/04,45,     139422, 17669
09/04,46,     143626, 18279
10/04,47,     147577, 18849
11/04,48,     152271, 19468
